"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17"
"Aberdeen, SD",-2.9085359499394,-0.906053522557579,-1.51020974324982,1.34291424494191,-0.334261411973598,-1.64155976877673,-1.08820718005414,0.354577724656761,-0.598761759275492,2.25667450068675,0.0349221935155405,0.984743390265349,-0.345506083986846,-0.706326710561216,-0.191144272379477,0.307987031196035,0.261891980044101
"Aberdeen, WA",0.941619321743231,0.595924371779587,-0.598235440517949,-0.357877252873978,-0.749748039224964,2.0565582411047,-0.784461194637778,0.267213669296228,0.577048078319429,-0.19508390084969,-0.50756966878415,-0.572182895127708,0.15721392812821,-0.750327629703229,0.147764696132887,-0.0680394160937774,0.337015338244144
"Abilene, TX",0.427420313649076,-1.07627833085082,-2.13935212836009,2.14941929310456,1.70228455596777,-0.854882500551834,-0.503315431487939,0.411163555538923,0.886971021564693,-0.18389350852405,1.15159605639766,-0.258696343834826,-0.777958380887489,0.311894958308075,-0.317225055789427,0.173722972219197,0.796000949686175
"Ada, OK",0.367091301561173,-0.410278001100581,-1.13968341939775,0.567426932370084,-0.029611934013879,-0.332690449082946,0.460004469120057,0.0933296214810728,0.351567660018942,0.796517514328627,0.215256269461299,0.532741406369549,-1.13967197779243,0.511125827623945,0.587681110057291,-0.852442362623703,-0.469178315491268
"Adrian, MI",-2.54712080519141,1.37275267560112,2.0347941526844,-0.737684369497453,-0.00711568439402306,0.329704454972924,0.419225118566561,1.05200939753241,0.554140707669664,-0.24877210866216,1.4560762863828,-0.703598273239017,0.432767856056988,-0.049177130390263,-0.618448477796748,0.216189952030086,-0.146655507830236
"Akron, OH",-1.13505199867665,0.0489730028023896,2.43993405288341,-1.01446743054938,0.223322357363101,-0.397477487126538,0.097130846691021,-0.17374697320081,-0.149352161111418,0.870439719383146,0.947256996937378,-0.397759094287834,-0.716178006555806,-0.327924928134506,0.00172629713509008,-0.41848946934082,0.0852658427765744
"Alamogordo, NM",2.46892130200037,-1.25142817748278,-3.04421546722228,0.336394883038317,-0.631069141866571,0.984763163994111,-0.269455025402338,1.41118397725647,0.971759859360941,0.495648124420589,1.44023229685259,-0.710832734909748,-1.46689777466885,-0.922539067551934,-0.459272682109481,-0.140371554883296,-0.256539322916901
"Albany, GA",4.14846830952204,-0.532721604511845,0.745150850849325,-0.247115955842716,0.343981399192182,-0.0673068830520412,0.900315962760351,0.107220741834195,0.934465726875804,0.509921261242375,-0.342945931407699,-1.01671873770707,-0.0264415211300818,-0.455480120237253,-0.705156369695779,0.170982259512992,-0.0605478142371186
"Albany, OR",0.151167182814374,0.0911328744126554,-0.415760579001962,0.0356846968351203,-2.23898571058629,-0.0241283447911438,-1.36644939400426,-0.53829432605598,0.952343582914038,-0.139794647874615,-0.113925272214317,0.258400372013369,0.424607084434217,-0.106568026854552,-0.377679519084578,-0.304402245392091,0.323679187808233
"Albany-Schenectady-Troy, NY",-1.82773541514494,-1.00628885314095,0.420283652290899,-0.628174350787794,-0.156488648358496,0.537266677325942,0.0244990426493517,-0.10380829632469,-0.767390068344865,0.24038040051035,-0.480767108658261,-0.51333550237127,0.0711357312324413,-0.0530728547999742,0.3491599600701,-0.384924874377597,-0.351130460865645
"Albemarle, NC",0.817472072120039,0.829975255328982,-0.448086994496558,-1.59442303389147,-0.990765343781224,1.2681403152268,-0.488279491275264,-0.0882992580152299,0.766805205244313,0.207528203197381,-0.740675987118711,0.492016031823598,-0.169444940336916,0.29480139484296,0.574182203567341,-0.777680117423052,-0.100677334359373
"Albert Lea, MN",-3.33432763397183,1.40817465924876,-0.163877022501083,-0.322755668472209,2.01585209767156,2.12972490581763,-0.701911961673212,-0.294162555405392,0.374974040670282,0.166168366874228,-0.211019679530482,0.927965382123232,-0.00777477774073927,0.0486804007451297,-0.082883591508273,0.345188283849251,-0.15099431627292
"Albertville, AL",0.675700333855295,0.353267473105617,0.0687361391199734,-0.277576679988569,0.0918090417414567,0.786465240484494,-0.236067893577931,-1.0267040673856,-0.465968528750926,0.68313367017237,-0.648537884100642,0.880462394913527,-0.441099445681153,0.397831683151941,0.597634314911174,1.07591018249917,-0.247595145941594
"Albuquerque, NM",2.11641551980606,-3.08402540392005,-2.63810009118339,-2.08827551266184,0.969598540565874,-1.38246386936692,0.150259054536392,1.5677204265357,-0.341370369762545,0.526973658246616,0.772695392267029,-1.13259762789499,-0.60631067851566,-0.411654761312513,-0.822612586463116,-0.0322925563128198,-0.581086007127677
"Alexandria, LA",2.12573047116647,1.06390516841297,0.0901910593955964,-0.47971412774667,1.33034571800138,-0.602209059863385,1.24669695058616,0.234214463818566,-0.641980263197843,1.54370557960363,-1.16792721552705,-0.943189177548993,0.558223209046089,0.760253168756691,0.331933744472245,0.206492196291395,-0.102548441134604
"Alexandria, MN",-3.07402185071559,-0.181627912421749,-1.09502830006842,0.896269582419432,-1.73538310564448,-1.22179163454594,0.747090758227335,0.108653045810856,-0.878746856998863,1.14229837590238,-0.0549655027314556,0.851657547705357,0.672770622941575,-1.01169068764203,-0.0431726624565603,0.411739782686189,0.600604717819918
"Alice, TX",1.99149307980098,1.8694618938704,-0.362338068600382,-1.82798696547125,0.93866044339487,-0.0943205141736377,-1.63439250846329,0.751657701826886,-1.85951774152154,-0.123178264731428,-0.680725367924415,1.47295564508991,0.808210664552895,0.503485066166861,0.69111811601939,0.706550645571452,-0.382915982451248
"Allentown-Bethlehem-Easton, PA-NJ",-1.3708697353477,-0.960305307732918,0.0310933901568306,-2.03523346142463,-0.371322113874163,-0.546582512961725,0.399398733475281,-0.414284540508039,0.0604851676242886,-1.01584741284829,0.0478819967907855,0.037936979049665,-0.140577536850821,-0.38675243391769,-0.0545377534411928,0.218846585390735,-0.0125457458939073
"Alma, MI",-0.363671433128336,2.23025040649984,2.88302233875442,-0.902743636328188,0.365217037521978,0.544674722930842,-0.365828568862916,1.12722991065871,-0.278805294024755,-0.175849148316908,2.21290505391171,-0.107397472795947,-0.570144711230231,0.115314540948785,0.198953106410892,0.697814829234697,-0.0568062762176262
"Alpena, MI",-1.1972475577417,1.47132757279561,1.51654048944995,-1.53460980613751,0.047491352581663,1.07872370330118,-0.264787581366521,-0.0359359203405189,0.0967496164073801,-0.327005480771402,0.810241778587077,-1.98308354279364,-0.991012031222482,1.17408408486194,-0.184536607562411,0.602545345997379,-0.187364937856392
"Altoona, PA",-0.504586785169607,0.859032939411506,-0.396811723022078,-1.37122018776389,-0.415473622747649,0.134373145766415,-0.336883032305022,-0.500798475704036,-0.890094100220127,-0.726214260407814,-0.860349118342955,0.424987243182632,-0.781867484699636,0.243430444355,-0.111695022869599,0.04463800991638,-0.194454526080418
"Altus, OK",-0.0308995880300713,-0.91769579273097,-1.51653847072353,0.631938063702921,0.142257842302454,-0.068451962620669,-0.795713881097837,2.52526621478028,0.582972900929551,0.173845560533077,0.850302265038486,1.29684791455061,-0.912408089752135,-0.250522168961326,-0.0411067843266867,0.0192773686853098,-0.138759092952778
"Amarillo, TX",0.812453389534404,-1.61988139188774,-3.05794774450804,0.158715047413359,1.82058946770898,0.0831826653076328,0.124524176557352,2.09549206156367,-0.453841259100325,0.775585227955375,1.46262310210609,-0.0477931642036385,-0.898510101297111,0.477398842847997,-0.0462724661818786,-0.44335805052094,0.310845435851093
"Americus, GA",4.24191215364107,-0.841729411795805,1.08893144471352,1.35237644266949,0.382968293350205,1.55188422016532,-0.167239473941884,0.307887762376694,0.970035225558086,1.11552479154596,-0.390526987800866,-1.06635514963585,0.230445096738031,-0.120516814794734,-1.63073384879377,0.844677585863639,-0.320003966859347
"Ames, IA",-0.96429240348402,-3.6885445615265,2.34301869295573,3.78279227946267,0.0146734991625035,-0.408381401373525,-1.06793028152977,1.18702188768745,0.524451566795532,-0.22095989657078,-0.273230622735625,1.22285160084019,0.378748756701747,-0.3471194390705,-0.104601848491949,-0.0912292251787279,-0.827495289136908
"Amsterdam, NY",-0.561740898237389,0.411328755972389,0.32988437474612,0.497856035552776,0.141161112875393,0.631326356704687,-0.460528291046762,-1.41491492291085,0.658889075578738,0.739386921834943,0.910714950378515,0.414671137351448,0.942619187913176,-0.234401182862282,-0.650911248203782,0.754296288854981,0.0727145952176143
"Andrews, TX",0.566821518666984,3.58812750590344,-3.45974584888324,-2.02283486279358,1.70301012505672,-1.91974139415529,-6.32877221015154,3.29961760734172,-2.49858868580409,-3.41234041158683,1.30143751364132,0.564490408503721,0.639952115882012,-0.858697055010516,0.943183824519958,-0.85244343950879,0.519597784045114
