GEOID,ME,MELSAD,z_AQI,z_Education,z_Poverty,z_Gini,z_Stability,z_SevHous,z_PoorH2OQual,z_AvgLandCOver,z_PoorHealth,z_Water,z_Black,z_Asian,z_Hispanic,z_GHG,z_Unemploy,z_Food,z_Crime,z_Female
10100,"Aberdeen, SD","Aberdeen, SD Micro Area",0.97,0.64,-1.10,-0.15,-0.43,-1.27,-0.53,-1.05,-1.01,1.27,2.098523533,-0.998515322,0.559738329,1.00,-2.02,-0.99,-0.13,0.865324792
10140,"Aberdeen, WA","Aberdeen, WA Micro Area",1.08,-0.89,-0.27,-0.48,-0.03,0.03,-0.76,0.68,0.40,0.37,-0.909094712,0.101578308,-0.839340705,-0.65,1.68,0.31,-0.36,-0.044814448
10180,"Abilene, TX","Abilene, TX Metro Area",-0.05,-0.16,-0.27,0.20,-1.93,-0.07,-0.82,0.57,-0.57,1.90,-0.292452320,-0.709564423,-0.477098556,2.23,-0.88,0.97,0.40,0.631765304
10220,"Ada, OK","Ada, OK Micro Area",-0.09,0.59,-0.08,-0.38,-0.55,-0.45,-0.26,0.28,1.24,0.80,0.325810551,-1.265743695,-0.153928871,0.26,-0.58,0.61,0.05,0.835427715
10300,"Adrian, MI","Adrian, MI Micro Area",-0.05,-0.28,-0.62,-1.32,0.20,-0.31,2.89,-1.53,-1.26,-0.46,-1.091875346,0.365427294,0.164611352,-0.53,-0.07,-0.89,-0.66,0.245015588
10420,"Akron, OH","Akron, OH Metro Area",-0.59,0.89,-0.60,0.35,0.53,-0.18,2.44,-1.14,-0.40,-0.55,-0.323484344,-0.353839112,1.034265965,-0.32,-0.05,0.28,-0.16,-0.285827648
10460,"Alamogordo, NM","Alamogordo, NM Micro Area",0.13,-0.53,0.53,-0.32,-0.90,-0.16,-0.89,1.91,0.38,3.78,1.071944413,-0.801545231,0.113110352,-0.28,1.26,1.38,0.26,-0.615229891
10500,"Albany, GA","Albany, GA Metro Area",-0.82,-0.39,1.18,0.90,-0.31,1.13,-0.23,0.62,0.29,-0.03,0.387236303,-0.344497963,1.723650981,-0.66,2.10,2.26,1.99,-0.369075965
10540,"Albany, OR","Albany, OR Metro Area",0.43,-0.50,-0.26,-0.95,-0.43,0.88,-0.23,0.68,0.27,-0.07,1.170109787,0.113697707,0.031939471,0.25,0.83,0.12,-1.09,-1.437921102
10580,"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY Metro Area",0.32,1.51,-1.02,-0.39,0.32,-0.21,0.24,0.15,-0.52,-0.35,-0.278738777,-0.157414499,0.362080545,-0.77,-0.48,-0.92,-0.15,-0.363866860
10620,"Albemarle, NC","Albemarle, NC Micro Area",0.00,-0.74,-0.32,-0.99,0.44,0.30,-0.40,0.40,1.81,-0.09,-0.499310399,-0.253532102,-0.440218645,-0.75,1.01,0.01,-0.23,1.143639956
10660,"Albert Lea, MN","Albert Lea, MN Micro Area",0.82,-0.70,-0.90,-1.29,0.65,-1.34,-0.33,-1.67,-0.55,-0.30,-2.330082306,-0.628104511,-1.291119440,0.81,-1.12,-1.60,-1.19,0.533675523
10700,"Albertville, AL","Albertville, AL Micro Area",0.24,-0.60,0.47,0.87,0.25,-0.36,-0.58,0.31,0.88,-0.75,-0.441982541,-0.843029604,-1.333949360,-0.09,-0.15,-0.48,-0.12,-0.066363106
10740,"Albuquerque, NM","Albuquerque, NM Metro Area",-2.17,0.95,0.01,0.30,0.09,0.89,-0.84,1.91,-0.31,3.59,1.060679642,-0.241557852,0.329864947,-0.52,0.06,0.25,2.85,0.972147846
