GEOID,ME,MELSAD,AQI_Good,Bachelor_Over_25,Per_Poverty,Gini,non_migration,Per_Sev_Hous,Xstreamlengthimpaired,Per_Avg_Land_Cov,poor_health_percent,Z_Water_Index,GHG_Percap,UNEMPLOY,FOOD_INS,VIO_CRIME,Broadband % population without access,Female_Inequality,Black_equality,Hispanic_equality,Asian_equality,,,,
11220,"Amsterdam, NY","Amsterdam, NY Micro Area",0.89,17.00,19.60,45.42,87.20,17.68,24.19,29.88,12.20,0.05,31.44,0.0836,12,142.3365401,0.16,0.980327943,0.842116953,0.7317516682,1.173935282,,,,
11380,"Andrews, TX","Andrews, TX Micro Area",0.78,9.80,11.90,45.40,86.40,14.43,1.23,41.17,28.20,0.57,49.28,0.0519,8.5,493.888475,0.03,0.940239582,0.627796482,0.8469815755,5.849064040,,,,
11420,"Angola, IN","Angola, IN Micro Area",0.79,20.30,10.10,39.60,84.90,9.75,79.23,8.31,13.30,0.02,25.35,0.0594,10.7,69.84401503,0.34,0.946047237,NA,0.7835602972,1.297486957,,,,
11460,"Ann Arbor, MI","Ann Arbor, MI Metro Area",0.76,54.30,14.50,47.85,76.50,17.31,79.75,7.15,9.60,0.06,13.79,0.0626,13.6,303.0847259,0.07,0.970102305,0.836972873,0.9443235919,1.530682441,,,,
11500,"Anniston-Oxford-Jacksonville, AL","Anniston-Oxford-Jacksonville, AL Metro Area",0.82,17.90,18.60,46.29,82.80,14.54,8.81,52.62,22.70,0.00,16.75,0.1168,16.7,756.0665443,0.09,0.960431254,0.952626634,0.8356752955,1.405160183,,,,
11540,"Appleton, WI","Appleton, WI Metro Area",0.79,28.40,8.00,40.55,89.50,10.94,16.59,15.69,9.24,0.07,15.16,0.0345,8.4759298,146.2654214,0.05,0.966985855,0.737649893,0.7460976625,1.024023526,,,,
11580,"Arcadia, FL","Arcadia, FL Micro Area",0.87,11.50,29.90,44.86,85.10,19.17,7.33,50.55,16.20,0.17,10.26,0.0829,15.9,440.7791839,0.66,1.093660896,0.723672089,0.6279984424,3.432949043,,,,
11620,"Ardmore, OK","Ardmore, OK Micro Area",0.76,20.40,16.40,46.69,84.80,13.57,12.16,44.47,19.30,0.19,18.28,0.0611,15.8,669.493875,0.27,0.973943768,0.837939598,0.7623650008,1.826688309,,,,
11660,"Arkadelphia, AR","Arkadelphia, AR Micro Area",0.96,26.40,21.50,45.10,79.80,15.26,2.52,69.19,21.90,0.03,21.12,0.0787,20.4,329.4783628,0.24,NA,0.960244268,0.7761178983,1.501134388,,,,
11680,"Arkansas City-Winfield, KS","Arkansas City-Winfield, KS Micro Area",0.93,20.30,16.00,42.82,81.40,12.20,17.64,43.17,15.00,0.15,16.68,0.0618,14.2,334.5772745,0.22,0.988778732,0.905341785,0.7925628172,1.310944666,,,,
11700,"Asheville, NC","Asheville, NC Metro Area",0.73,34.10,13.60,45.54,86.30,15.08,18.20,72.64,15.56,0.07,13.56,0.0577,12.20697213,218.0757527,0.08,0.98399475,0.777608945,0.7563725108,1.315340568,,,,
11740,"Ashland, OH","Ashland, OH Micro Area",0.77,20.20,14.20,41.08,85.40,13.27,75.83,33.57,13.30,0.04,16.30,0.0573,13.4,102.6869759,0.28,0.973808482,1.433062896,1.2666666180,1.680453662,,,,
11780,"Ashtabula, OH","Ashtabula, OH Micro Area",0.89,13.40,19.80,43.35,88.90,15.15,55.36,23.40,18.80,0.04,18.31,0.0809,15.1,134.91502,0.08,0.974432858,0.767357443,0.7765484470,1.720357366,,,,
11820,"Astoria, OR","Astoria, OR Micro Area",0.80,24.50,12.20,42.09,80.40,19.11,8.53,77.44,12.60,0.12,21.46,0.0689,13.4,163.2782811,0.15,0.967332255,1.484428531,0.8448446555,2.032531552,,,,
11860,"Atchison, KS","Atchison, KS Micro Area",0.93,20.70,18.50,49.19,85.90,10.36,15.20,3.64,12.20,0.07,41.81,0.0672,16.9,288.3593869,1.00,NA,0.988414379,0.8352435086,0.406552486,,,,
11900,"Athens, OH","Athens, OH Micro Area",0.89,29.60,30.20,50.86,71.40,23.28,54.64,50.22,16.60,0.02,10.72,0.0940,19.9,111.6358952,0.36,0.96846473,1.326373654,1.5762819550,2.303586158,,,,
11940,"Athens, TN","Athens, TN Micro Area",0.84,15.40,19.70,45.38,88.20,14.81,20.95,61.31,30.50,0.05,23.05,0.0862,13.6,515.0377726,0.31,0.919741535,0.894032761,1.0332141930,2.896304859,,,,
11980,"Athens, TX","Athens, TX Micro Area",0.78,18.10,18.00,46.15,86.70,14.34,6.44,47.75,21.20,0.05,20.32,0.0691,18.8,339.8374087,0.70,0.967198942,0.871644427,0.7634496676,1.276089409,,,,
12020,"Athens-Clarke County, GA","Athens-Clarke County, GA Metro Area",0.79,36.40,25.40,50.89,78.80,20.37,12.77,55.26,15.72,0.09,19.14,0.0754,17.01810858,318.7106729,0.11,0.986173296,0.791185025,0.7239490381,1.724397028,,,,
12060,"Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA Metro Area",0.39,37.00,13.90,47.23,84.30,17.81,10.53,59.29,12.22,0.04,12.79,0.0817,14.15744132,403.4517547,0.18,0.968383521,0.931635742,0.7729549242,1.345220053,,,,
